sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,PHAdultMale,PHYearlingMale,PHFawnMale,PHAdultFemale,PHYearlingFemale,PHFawnFemale
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1661,16,313,0,90,0,1594,0,374,0,81,0,2,0,0,0,695,352,553,1782,349,562
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1608,16,302,0,90,0,1721,0,391,0,80,0,1,0,0,0,748,363,553,1655,332,563
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1606,16,326,0,78,0,1725,0,366,0,88,0,2,0,0,0,750,339,565,1651,357,555
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1707,16,318,0,101,0,1690,0,341,0,77,0,2,0,0,0,649,347,542,1686,382,566
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1623,16,336,0,66,0,1687,0,389,0,81,0,1,0,0,0,733,329,577,1689,334,562
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1621,16,330,0,96,0,1704,0,371,0,83,0,2,0,0,0,735,335,547,1672,352,560
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1637,16,345,0,97,0,1710,0,386,0,81,0,2,0,0,0,719,320,546,1666,337,562
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1652,16,317,0,93,0,1687,0,362,0,93,0,2,0,0,0,704,348,550,1689,361,550
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1650,16,329,0,76,0,1692,0,363,0,83,0,1,0,0,0,706,336,567,1684,360,560
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1653,16,343,0,85,0,1716,0,352,0,74,0,2,0,0,0,703,322,558,1660,371,569
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1679,16,326,0,76,0,1680,0,350,0,91,0,0,0,0,0,677,339,567,1696,373,552
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1616,16,333,0,86,0,1633,0,339,0,87,0,2,0,0,0,740,332,557,1743,384,556
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1661,16,326,0,85,0,1714,0,356,0,86,0,0,0,0,0,695,339,558,1662,367,557
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1630,16,344,0,83,0,1703,0,352,0,80,0,1,0,0,0,726,321,560,1673,371,563
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1657,16,336,0,89,0,1672,0,363,0,78,0,1,0,0,0,699,329,554,1704,360,565
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1651,16,332,0,78,0,1697,0,368,0,77,0,1,0,0,0,705,333,565,1679,355,566
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1645,16,343,0,81,0,1684,0,331,0,81,0,1,0,0,0,711,322,562,1692,392,562
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1674,16,347,0,87,0,1708,0,348,0,85,0,1,0,0,0,682,318,556,1668,375,558
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1618,16,324,0,82,0,1728,0,359,0,91,0,1,0,0,0,738,341,561,1648,364,552
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1691,16,313,0,78,0,1708,0,341,0,81,0,2,0,0,0,665,352,565,1668,382,562
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1635,16,333,0,87,0,1666,0,355,0,101,0,1,0,0,0,721,332,556,1710,368,542
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1631,16,357,0,67,0,1686,0,399,0,77,0,1,0,0,0,725,308,576,1690,324,566
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1655,16,330,0,90,0,1712,0,362,0,87,0,2,0,0,0,701,335,553,1664,361,556
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1662,16,324,0,90,0,1698,0,379,0,86,0,1,0,0,0,694,341,553,1678,344,557
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1658,16,320,0,80,0,1762,0,369,0,85,0,2,0,0,0,698,345,563,1614,354,558
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1656,16,322,0,91,0,1729,0,346,0,84,0,2,0,0,0,700,343,552,1647,377,559
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1662,16,340,0,74,0,1689,0,368,0,92,0,1,0,0,0,694,325,569,1687,355,551
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1649,16,328,0,86,0,1724,0,359,0,83,0,1,0,0,0,707,337,557,1652,364,560
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1646,16,348,0,96,0,1655,0,376,0,77,0,2,0,0,0,710,317,547,1721,347,566
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1635,16,333,0,84,0,1695,0,354,0,80,0,2,0,0,0,721,332,559,1681,369,563
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1649,16,310,0,87,0,1694,0,350,0,84,0,2,0,0,0,707,355,556,1682,373,559
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1668,16,348,0,94,0,1700,0,356,0,89,0,1,0,0,0,688,317,549,1676,367,554
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1633,16,303,0,74,0,1728,0,344,0,85,0,1,0,0,0,723,362,569,1648,379,558
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1628,16,357,0,76,0,1713,0,327,0,90,0,0,0,0,0,728,308,567,1663,396,553
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1655,16,340,0,94,0,1655,0,392,0,84,0,2,0,0,0,701,325,549,1721,331,559
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1627,16,321,0,95,0,1646,0,367,0,80,0,2,0,0,0,729,344,548,1730,356,563
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1669,16,353,0,91,0,1680,0,399,0,93,0,2,0,0,0,687,312,552,1696,324,550
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1649,16,337,0,95,0,1672,0,363,0,94,0,2,0,0,0,707,328,548,1704,360,549
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1641,16,325,0,73,0,1679,0,361,0,89,0,1,0,0,0,715,340,570,1697,362,554
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1632,16,337,0,86,0,1719,0,346,0,87,0,2,0,0,0,724,328,557,1657,377,556
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1624,16,327,0,84,0,1664,0,355,0,84,0,2,0,0,0,732,338,559,1712,368,559
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1649,16,322,0,82,0,1702,0,373,0,104,0,2,0,0,0,707,343,561,1674,350,539
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1639,16,341,0,83,0,1642,0,354,0,94,0,1,0,0,0,717,324,560,1734,369,549
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1643,16,327,0,64,0,1672,0,357,0,80,0,1,0,0,0,713,338,579,1704,366,563
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1656,16,314,0,82,0,1667,0,372,0,82,0,0,0,0,0,700,351,561,1709,351,561
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1644,16,342,0,88,0,1698,0,351,0,63,0,2,0,0,0,712,323,555,1678,372,580
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1664,16,333,0,71,0,1736,0,354,0,95,0,1,0,0,0,692,332,572,1640,369,548
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1674,16,317,0,76,0,1688,0,362,0,80,0,2,0,0,0,682,348,567,1688,361,563
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1634,16,322,0,74,0,1686,0,366,0,84,0,0,0,0,0,722,343,569,1690,357,559
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1621,16,335,0,84,0,1718,0,361,0,94,0,2,0,0,0,735,330,559,1658,362,549
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1657,16,319,0,75,0,1646,0,340,0,92,0,2,0,0,0,699,346,568,1730,383,551
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1608,16,348,0,80,0,1708,0,371,0,73,0,2,0,0,0,748,317,563,1668,352,570
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1630,16,328,0,90,0,1732,0,345,0,79,0,1,0,0,0,726,337,553,1644,378,564
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1653,16,316,0,95,0,1681,0,342,0,64,0,2,0,0,0,703,349,548,1695,381,579
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1680,16,348,0,77,0,1725,0,370,0,85,0,2,0,0,0,676,317,566,1651,353,558
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1662,16,331,0,83,0,1714,0,369,0,81,0,2,0,0,0,694,334,560,1662,354,562
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1665,16,344,0,81,0,1685,0,352,0,83,0,0,0,0,0,691,321,562,1691,371,560
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1655,16,320,0,68,0,1728,0,374,0,72,0,1,0,0,0,701,345,575,1648,349,571
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1647,16,317,0,97,0,1704,0,353,0,82,0,2,0,0,0,709,348,546,1672,370,561
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1660,16,323,0,81,0,1699,0,376,0,98,0,2,0,0,0,696,342,562,1677,347,545
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1656,16,338,0,88,0,1700,0,354,0,88,0,2,0,0,0,700,327,555,1676,369,555
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1673,16,320,0,73,0,1678,0,339,0,83,0,1,0,0,0,683,345,570,1698,384,560
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1645,16,325,0,87,0,1674,0,360,0,76,0,2,0,0,0,711,340,556,1702,363,567
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1637,16,326,0,89,0,1680,0,365,0,89,0,1,0,0,0,719,339,554,1696,358,554
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1614,16,325,0,97,0,1729,0,367,0,73,0,0,0,0,0,742,340,546,1647,356,570
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1656,16,358,0,80,0,1697,0,340,0,74,0,2,0,0,0,700,307,563,1679,383,569
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1636,16,323,0,75,0,1632,0,340,0,94,0,1,0,0,0,720,342,568,1744,383,549
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1654,16,343,0,102,0,1672,0,371,0,94,0,1,0,0,0,702,322,541,1704,352,549
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1658,16,339,0,82,0,1691,0,348,0,87,0,2,0,0,0,698,326,561,1685,375,556
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1645,16,311,0,80,0,1712,0,372,0,72,0,2,0,0,0,711,354,563,1664,351,571
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1651,16,349,0,79,0,1628,0,354,0,69,0,1,0,0,0,705,316,564,1748,369,574
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1643,16,310,0,86,0,1664,0,360,0,79,0,2,0,0,0,713,355,557,1712,363,564
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1573,16,329,0,86,0,1728,0,357,0,80,0,1,0,0,0,783,336,557,1648,366,563
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1675,16,344,0,83,0,1695,0,357,0,79,0,2,0,0,0,681,321,560,1681,366,564
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1638,16,329,0,85,0,1690,0,344,0,89,0,2,0,0,0,718,336,558,1686,379,554
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1675,16,339,0,80,0,1696,0,375,0,87,0,1,0,0,0,681,326,563,1680,348,556
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1651,16,343,0,77,0,1645,0,385,0,83,0,0,0,0,0,705,322,566,1731,338,560
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1663,16,356,0,74,0,1722,0,390,0,74,0,1,0,0,0,693,309,569,1654,333,569
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1637,16,326,0,83,0,1722,0,338,0,84,0,2,0,0,0,719,339,560,1654,385,559
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1642,16,345,0,77,0,1663,0,359,0,75,0,1,0,0,0,714,320,566,1713,364,568
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1622,16,322,0,79,0,1674,0,375,0,83,0,2,0,0,0,734,343,564,1702,348,560
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1670,16,319,0,78,0,1677,0,368,0,78,0,2,0,0,0,686,346,565,1699,355,565
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1659,16,349,0,86,0,1693,0,375,0,81,0,2,0,0,0,697,316,557,1683,348,562
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1646,16,326,0,72,0,1689,0,371,0,67,0,2,0,0,0,710,339,571,1687,352,576
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1679,16,330,0,59,0,1663,0,395,0,85,0,2,0,0,0,677,335,584,1713,328,558
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1658,16,342,0,83,0,1643,0,347,0,80,0,0,0,0,0,698,323,560,1733,376,563
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1639,16,337,0,83,0,1638,0,375,0,83,0,1,0,0,0,717,328,560,1738,348,560
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1661,16,325,0,85,0,1733,0,357,0,96,0,1,0,0,0,695,340,558,1643,366,547
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1640,16,350,0,92,0,1724,0,375,0,73,0,1,0,0,0,716,315,551,1652,348,570
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1630,16,338,0,70,0,1675,0,358,0,93,0,2,0,0,0,726,327,573,1701,365,550
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1660,16,354,0,65,0,1700,0,360,0,82,0,1,0,0,0,696,311,578,1676,363,561
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1668,16,339,0,90,0,1704,0,376,0,78,0,2,0,0,0,688,326,553,1672,347,565
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1636,16,331,0,95,0,1667,0,382,0,92,0,1,0,0,0,720,334,548,1709,341,551
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1653,16,347,0,84,0,1666,0,359,0,91,0,2,0,0,0,703,318,559,1710,364,552
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1626,16,318,0,90,0,1666,0,351,0,77,0,2,0,0,0,730,347,553,1710,372,566
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1625,16,297,0,80,0,1666,0,333,0,100,0,1,0,0,0,731,368,563,1710,390,543
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1651,16,310,0,76,0,1680,0,363,0,81,0,1,0,0,0,705,355,567,1696,360,562
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1658,16,363,0,77,0,1696,0,362,0,84,0,2,0,0,0,698,302,566,1680,361,559
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1648,16,335,0,81,0,1697,0,326,0,74,0,2,0,0,0,708,330,562,1679,397,569
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,1659,16,316,0,84,0,1688,0,354,0,78,0,2,0,0,0,697,349,559,1688,369,565
